Entity,latitude,longitude
Afghanistan,33.513199,65.664803
Albania,42.651242,-73.755418
Algeria,36.775348,3.060066
American Samoa,-14.293662,-170.698357
Andean Latin America,-6.18553,106.70688
Andorra,42.54525,1.576297
Angola,-12.2971,17.2801
Antigua and Barbuda,17.07753,-61.800068
Argentina,-35.189907,-65.143982
Armenia,4.536307,-75.672375
Australasia,-37.39603,143.86951
Australia,-25,134
Austria,47.586853,14.141437
Azerbaijan,40.237228,48.962463
Bahamas,24.695328,-78.050987
Bahrain,26.066799,50.511398
Bangladesh,24.2887,90.0438
Barbados,13.167446,-59.555202
Belarus,53.542892,28.05398
Belgium,50.641949,4.659539
Belize,17.25,-88.166667
Benin,10.7757,2.6937
Bermuda,32.333302,-64.75
Bhutan,27.339199,90.4375
Bolivia,-16.71007,-64.665314
Bosnia and Herzegovina,44.165581,17.791399
Botswana,-23.816299,24.010799
Brazil,-10.861639,-53.104038
Brunei,4.5409,114.719101
Bulgaria,42.760147,25.241814
Burkina Faso,12.3616,-1.5377
Burundi,-3.3949,29.6717
Cambodia,12.4425,104.733704
Cameroon,6.3804,12.8155
Canada,56.511018,-105.908203
Cape Verde,16,-24
Caribbean,-36.75596,174.72003
Central African Republic,6.1428,20.399599
Central Asia,-25.35894,-57.58362
Central Europe,35.67002,-95.15899
"Central Europe, Eastern Europe, and Central Asia",35.67002,-95.15899
Central Latin America,40.91484,-73.88849
Central Sub-Saharan Africa,38.16289,-90.53842
Chad,14.0228,18.520599
Chile,-35.288689,-71.231911
China,33,100
Colombia,3.904655,-73.076401
Comoros,-11.6474,43.297699
Congo,-0.2396,15.3028
Costa Rica,9.970512,-84.196793
Cote d'Ivoire,7.6869,-5.6958
Croatia,45.133049,16.397858
Cuba,21.610159,-78.928322
Cyprus,35.05386,33.239326
Czechia,50.08781,14.42046
Democratic Republic of Congo,9.00699,38.7697
Denmark,56.032433,9.317246
Djibouti,11.9159,42.419399
Dominica,15.427289,-61.356377
Dominican Republic,18.898577,-70.496437
East Asia,-6.19355,106.70033
Eastern Europe,30.44197,-91.18021
Eastern Sub-Saharan Africa,37.56931,-80.41492
Ecuador,-1.454042,-78.36792
Egypt,26.317301,29.0548
El Salvador,13.724752,-88.870277
England,52.795479,-0.54024
Equatorial Guinea,1.4777,10.375
Eritrea,15.3316,38.923599
Estonia,58.684872,25.840622
Eswatini,-25.47281,28.05147
Ethiopia,8.3739,39.0588
Fiji,-17.850599,177.776901
Finland,64.524025,26.287458
France,46.623974,2.462247
Gabon,-0.8403,12.5313
Gambia,13.4752,-15.309
Georgia,32.638481,-83.426574
Germany,51.090614,10.382207
Ghana,8.3446,-1.0442
Greece,39.478577,22.591492
Greenland,76.422188,-42.164707
Grenada,37.18302,-3.602192
Guam,13.3532,144.653198
Guatemala,14.642516,-90.513138
Guinea,10.4559,-11.1874
Guinea-Bissau,12.0673,-14.941
Guyana,4.799234,-58.981483
Haiti,18.932878,-72.671188
High SDI,31.96514,34.81804
High-income,35.95397,-80.00394
High-income Asia Pacific,38.4823,-90.753
High-middle SDI,33.29905,-82.96546
Honduras,14.818892,-86.600739
Hungary,47.166401,19.413937
Iceland,64.990005,-18.59289
India,27.0858,80.314003
Indonesia,-0.7366,113.485001
Iran,32.028599,54.490398
Iraq,32.885899,43.609299
Ireland,53.177616,-8.14161
Israel,31.182882,34.811615
Italy,43.524673,12.1605
Jamaica,18.156088,-77.310661
Japan,36.652302,138.192093
Jordan,32.363876,37.794193
Kazakhstan,50.5093,64.914497
Kenya,1.7563,37.636902
Kiribati,-2.8497,-171.623795
Kuwait,29.3295,47.683102
Kyrgyzstan,41.224899,75.829803
Laos,18.3468,103.781601
Latin America and Caribbean,-6.18553,106.70688
Latvia,56.854328,24.931015
Lebanon,33.9417,35.923901
Lesotho,-29.4498,27.994301
Liberia,10.634326,-85.441093
Libya,28.046301,16.366501
Lithuania,55.335629,23.908211
Low SDI,34.25331,-110.03311
Low-middle SDI,42.27903,-76.82078
Luxembourg,49.611277,6.129799
Madagascar,-18.891399,46.482101
Malawi,-13.2942,34.419399
Malaysia,2.5961,112.883904
Maldives,-0.6022,73.084198
Mali,16.819201,-3.6522
Malta,35.902241,14.413739
Marshall Islands,7.1482,171.037399
Mauritania,20.544201,-10.7954
Mauritius,-20.2833,57.549999
